Area Name,Total - Persons,Total - Males,Total - Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Literate - Persons,Literate - Males,Literate - Females,Literate w/o education level - Persons,Literate w/o education level - Males,Literate w/o education level - Females,Bellow primary - Persons,Bellow primary - Males,Bellow primary - Females,Primary - Persons,Primary - Males,Primary - Females,Middle - Persons,Middle - Males,Middle - Females,Matric/Secondary - Persons,Matric/Secondary - Males,Matric/Secondary - Females,Higher second/Interm/Pre-University/Senior second - Persons,Higher second/Interm/Pre-University/Senior second - Males,Higher second/Interm/Pre-University/Senior second - Females,Non-technical diploma - Persons,Non-technical diploma - Males,Non-technical diploma - Females,Technical diploma - Persons,Technical diploma - Males,Technical diploma - Females,Graduate_Persons,Graduate_Males,Graduate_Females,Unclassified_Persons,Unclassified_Males,Unclassified_Females,illiterate_persons_rate,illiterate_males_rate,illiterate_females_rate,literate_persons_rate,literate_males_rate,literate_females_rate,literate_w_o_education_level_persons_rate,literate_w_o_education_level_males_rate,literate_w_o_education_level_females_rate,bellow_primary_persons_rate,bellow_primary_males_rate,bellow_primary_females_rate,primary_persons_rate,primary_males_rate,primary_females_rate,middle_persons_rate,middle_males_rate,middle_females_rate,matric_secondary_persons_rate,matric_secondary_males_rate,matric_secondary_females_rate,higher_second_interm_pre-university_senior_second_persons_rate,higher_second_interm_pre-university_senior_second_males_rate,higher_second_interm_pre-university_senior_second_females_rate,non-technical_diploma_persons_rate,non-technical_diploma_males_rate,non-technical_diploma_females_rate,technical_diploma_persons_rate,technical_diploma_males_rate,technical_diploma_females_rate,graduate_persons_rate,graduate_males_rate,graduate_females_rate,unclassified_persons_rate,unclassified_males_rate,unclassified_females_rate,State,Score_mean,Score_std,Rank_mean,TLR_mean,RPC_mean,GO_mean,OI_mean,PERCEPTION_mean,n_institutos,tiene_ranking
Andaman & Nicobar Islands,356152,192972,163180,103017,46141,56876,253135,146831,106304,1969,1224,745,53401,29312,24089,70777,40793,29984,56170,32982,23188,34656,20937,13719,18545,10779,7766,50,29,21,2647,1857,790,14903,8905,5998,17,13,4,0.2892500954648577,0.23910722799162573,0.34854761612942764,0.7107499045351423,0.7608927720083742,0.6514523838705724,0.0055285383768727955,0.006342889123810708,0.0045655104792253955,0.14993879017947392,0.15189768463818584,0.14762225762961148,0.1987269480446551,0.2113933627676554,0.1837480083343547,0.15771356050225746,0.17091598781170325,0.14210074764064223,0.09730676789685302,0.1084976058702817,0.08407280303958818,0.05207046429614322,0.05585784466140165,0.04759161661968379,0.00014038949661942092,0.000150280869763489,0.0001286922416962863,0.007432219951032144,0.009623157763820658,0.00484127956857458,0.0418444933623846,0.04614659121530585,0.036756955509253585,4.773242885060311e-05,6.736728644570196e-05,2.4512807942149773e-05,,,,,,,,,,,False
Andhra Pradesh,76210007,38527413,37682594,36275684,15082625,21193059,39934323,23444788,16489535,1491086,838354,652732,9808301,5253668,4554633,12365169,6789316,5575853,4086083,2422208,1663875,5756834,3659857,2096977,3163264,2065491,1097773,44127,34006,10121,389404,346447,42957,2826363,2032949,793414,3692,2492,1200,0.47599633470706804,0.3914777511794005,0.5624097693486813,0.524003665292932,0.6085222488205995,0.43759023065131875,0.019565488296044903,0.021759934932563472,0.01732184360768794,0.12870095917980956,0.13636181593609725,0.12086835104823197,0.1622512513350117,0.1762203966303162,0.14796892697992076,0.05361609532459431,0.0628697286267313,0.04415500164346435,0.07553908241997669,0.09499358288084384,0.05564842484039183,0.041507199966534576,0.05361094449814214,0.02913209743469359,0.0005790184483252967,0.0008826442616326199,0.00026858554376590953,0.005109617691020551,0.008992220681933666,0.0011399692919229498,0.0370865075501174,0.05276629915431903,0.021055185319779207,4.8445081496974535e-05,6.468121802001084e-05,3.184494146024024e-05,Andhra Pradesh,50.5025,4.467944666785225,60.416666666666664,62.40083333333333,30.123333333333335,78.02583333333332,60.38666666666666,11.012500000000001,12.0,True
Arunachal Pradesh,1097968,579941,518027,613183,276660,336523,484785,303281,181504,9346,5613,3733,148737,86467,62270,123639,73566,50073,80469,51569,28900,61928,42153,19775,31891,21905,9986,121,105,16,2573,2342,231,26047,19533,6514,34,28,6,0.5584707386736225,0.477048527350196,0.64962444042492,0.44152926132637743,0.522951472649804,0.35037555957508004,0.008512087783979133,0.009678570751162617,0.007206188094442954,0.13546569663232444,0.14909620116529096,0.12020608964397608,0.11260710694665053,0.1268508348263013,0.0966609848521409,0.07328902117365897,0.08892111438922236,0.055788597891615686,0.05640237238243737,0.07268498002383,0.03817368592756748,0.029045473092111973,0.037771083610229315,0.019276987492929904,0.00011020357606050449,0.00018105290020881435,3.088642097805713e-05,0.0023434198446584966,0.004038341831324221,0.0004459227028706998,0.02372291360039637,0.03368101237884544,0.012574634140691508,3.096629409964589e-05,4.828077338901716e-05,1.1582407866771422e-05,,,,,,,,,,,False
Assam,26655528,13777037,12878491,12640174,5588340,7051834,14015354,8188697,5826657,302290,188402,113888,4106789,2332683,1774106,3189339,1822109,1367230,2575642,1441104,1134538,2351739,1402118,949621,785043,506051,278992,1258,1033,225,21732,19493,2239,678887,473802,205085,2635,1902,733,0.4742046002615292,0.4056271315813407,0.5475667917926099,0.5257953997384708,0.5943728684186592,0.45243320820739014,0.011340611973621382,0.013675073965468772,0.008843272088321528,0.15406894209711397,0.16931674060249674,0.13775728848977725,0.11965019038452361,0.13225695771884768,0.10616383549905031,0.09662693607119693,0.10460188210280628,0.08809556958187105,0.08822706494502754,0.10177210092416823,0.07373697741451231,0.029451414355776407,0.03673148297416926,0.02166340761506919,4.719471323171689e-05,7.497983782724834e-05,1.7470990972467192e-05,0.000815290546861424,0.0014148905893190242,0.0001738557723882402,0.025468900859889176,0.034390703893732735,0.01592461414928193,9.885379122859619e-05,0.0001380558098232588,5.691660614585979e-05,Assam,54.645625,10.36668315245206,55.5625,62.683125,42.369375,76.82125,57.801875,19.825625,16.0,True
Bihar,82998509,43243795,39754714,51888932,22599419,29289513,31109577,20644376,10465201,1715049,1109731,605318,7890329,4754137,3136192,8334709,5130917,3203792,4390226,3012151,1378075,4751560,3439918,1311642,1826093,1385282,440811,24989,20088,4901,48532,40458,8074,2109415,1737651,371764,18675,14043,4632,0.6251790860484012,0.5226048962631518,0.7367557215981984,0.37482091395159883,0.47739510373684824,0.2632442784018016,0.02066361216199679,0.025662201941342104,0.015226320078670419,0.09506591256958603,0.10993801538463495,0.07888855646150542,0.10041998465297731,0.11865094171314058,0.08058898373662052,0.05289523935905885,0.06965510311941864,0.034664442561453214,0.05724873925144848,0.07954708877886411,0.03299337029565852,0.022001515713975055,0.03203423751315073,0.011088269934478714,0.0003010776976728582,0.00046452907289936047,0.00012328097744584453,0.0005847333956324444,0.0009355793125927084,0.0002030954115278002,0.025415095107310905,0.040182666669287465,0.009351444460146286,0.00022500404194007872,0.0003247402315176085,0.00011651448429486878,Bihar,50.55833333333334,3.7320365307251033,64.0,62.38833333333333,38.15833333333333,65.50833333333334,57.879999999999995,15.056666666666667,6.0,True
Chandigarh,900635,506938,393697,257390,124252,133138,643245,382686,260559,5945,3444,2501,88518,50888,37630,115349,66155,49194,90111,55766,34345,124607,79197,45410,69718,41533,28185,1223,359,864,8854,5966,2888,138441,79120,59321,479,258,221,0.28578725010686906,0.24510295144573893,0.3381737732316985,0.714212749893131,0.7548970485542611,0.6618262267683015,0.006600898255119999,0.006793730199748293,0.006352601112022698,0.09828398851921144,0.10038308432194865,0.0955811194903695,0.12807519139273957,0.13049919319522307,0.124953962057115,0.10005274056637817,0.1100055628104423,0.0872371392212793,0.13835460536177252,0.15622620517696445,0.1153425095949423,0.07740982751058975,0.08192915109934548,0.07159058870146331,0.0013579307932736347,0.000708173386094552,0.002194581111870296,0.009830841572890239,0.011768697552757931,0.007335590568381268,0.15371487894652106,0.15607431283510015,0.1506767895107151,0.0005318469746345634,0.0005089379766361962,0.0005613454001427493,Chandigarh,53.60666666666666,3.124161754241713,45.5,55.53666666666667,44.821666666666665,72.01666666666667,61.86333333333334,29.16,6.0,True
Chhattisgarh,20833803,10474218,10359585,9660654,3762823,5897831,11173149,6711395,4461754,689424,314493,374931,3797072,2165788,1631284,2936720,1702686,1234034,1559439,980634,578805,983606,682043,301563,589239,420526,168713,3097,2483,614,36806,33473,3333,576721,408596,168125,1025,673,352,0.46370093832604636,0.3592461986183599,0.5693115119958956,0.5362990616739536,0.6407538013816402,0.4306884880041044,0.033091605982834726,0.030025439607997466,0.03619170072932458,0.18225534723545192,0.20677324073262557,0.15746615332563998,0.1409593822116874,0.1625597252224462,0.11912002266500057,0.0748513845503867,0.09362360034897116,0.05587144658787008,0.047212023652138786,0.0651163647730074,0.029109563751829826,0.02828283439178147,0.04014867744780565,0.016285690980864582,0.00014865264877468603,0.00023705827012575069,5.92687834503023e-05,0.001766648172683595,0.003195751701940899,0.0003217310345926019,0.027681983937354115,0.03900969026995619,0.016228931950459404,4.9198890860204445e-05,6.425300676384623e-05,3.397819507248601e-05,,,,,,,,,,,False
Dadra & Nagar Haveli,220490,121666,98824,116586,49517,67069,103904,72149,31755,1228,880,348,26108,16321,9787,25077,16787,8290,15408,11124,4284,15159,11658,3501,10344,7630,2714,122,97,25,2544,2094,450,7896,5545,2351,18,13,5,0.5287586738627602,0.4069912711850476,0.6786711729944143,0.4712413261372398,0.5930087288149524,0.3213288270055857,0.005569413578847113,0.007232916344747094,0.003521411802800939,0.11840899814050523,0.1341459405257015,0.09903464745405974,0.11373304911787382,0.13797609849916986,0.0838865053023557,0.06988072021406866,0.0914306379760985,0.04334979357241156,0.06875141729783664,0.09581970312166094,0.03542661701610945,0.04691369223094018,0.06271267239820492,0.02746296446207399,0.0005533130754229216,0.0007972646425459866,0.0002529749858334008,0.011537938228491088,0.017211053211250472,0.004553549745001214,0.03581114789786385,0.04557559219502572,0.02378976766777301,8.163635539026713e-05,0.00010684990054740026,5.059499716668016e-05,,,,,,,,,,,False
Daman & Diu,158204,92512,65692,50604,21520,29084,107600,70992,36608,443,302,141,21565,12399,9166,27208,16449,10759,20664,14052,6612,15549,11627,3922,14280,10364,3916,58,43,15,1608,1270,338,6209,4474,1735,16,12,4,0.31986549012667187,0.23261847111726047,0.44273275284661756,0.6801345098733281,0.7673815288827396,0.5572672471533825,0.002800182043437587,0.0032644413697682463,0.002146380076721671,0.13631134484589516,0.1340258561051539,0.13952992754064422,0.17198048089808096,0.17780396056727776,0.16377945564147842,0.13061616646861016,0.15189380837080596,0.1006515252998843,0.09828449343885111,0.12568099273607747,0.0597028557510808,0.09026320447017774,0.11202870978900034,0.05961152042866711,0.0003666152562514222,0.00046480456589415427,0.0002283383060342203,0.010164091931935982,0.0137279488066413,0.005145223162637764,0.039246795276984145,0.04836129367001038,0.02641113073129148,0.0001011352431038406,0.00012971290210999655,6.0890214942458744e-05,,,,,,,,,,,False
Delhi,13850507,7607234,6243273,4185743,1906387,2279356,9664764,5700847,3963917,96319,54600,41719,1534913,852975,681938,1967466,1093728,873738,1531690,929152,602538,1691495,1077847,613648,1027524,618977,408547,8747,5019,3728,42848,31481,11367,1761915,1035757,726158,1847,1311,536,0.30220864839099393,0.2506018613335675,0.36508991357577986,0.6977913516090061,0.7493981386664325,0.6349100864242201,0.006954185864820689,0.007177378794973311,0.006682232220183227,0.11081998658966058,0.11212682559784543,0.10922764389767996,0.14205010690222386,0.14377472810748296,0.1399487095951114,0.11058728752673097,0.12214058355507403,0.09650995559540645,0.12212513231465101,0.14168710992720876,0.09828947092334421,0.07418674276688933,0.08136689366989368,0.06543795217668681,0.0006315292284968341,0.0006597667430763928,0.0005971226950991892,0.00309360516550044,0.0041382978359808574,0.001820679633903563,0.1272094227308791,0.1361542184715233,0.11631046728214511,0.00013335251915326998,0.00017233596337380973,8.585240466018385e-05,Delhi,62.85444444444444,11.335679561063428,28.77777777777778,66.75527777777778,51.13583333333334,80.80000000000001,68.13555555555556,45.155833333333334,36.0,True
Goa,1347668,687248,660420,362106,146216,215890,985562,541032,444530,18010,9796,8214,188906,97451,91455,193669,103532,90137,159258,88969,70289,154775,88654,66121,158096,86693,71403,469,255,214,14075,11713,2362,98297,53966,44331,7,3,4,0.26869080515379157,0.21275580285428258,0.3268980345840526,0.7313091948462084,0.7872441971457174,0.6731019654159475,0.013363825511921334,0.014253951994039997,0.012437539747433451,0.14017250539450368,0.14179888482760225,0.13848005814481693,0.1437067586378841,0.15064721905338394,0.1364843584385694,0.11817302184217478,0.12945690638604987,0.10643075618545773,0.11484653490325511,0.12899855656182338,0.10011962084733957,0.1173107916786627,0.12614514702116267,0.10811756155173981,0.0003480085599717438,0.00037104509580238867,0.0003240362193755489,0.01044396691173197,0.01704333806718972,0.0035765119166590955,0.07293858724849146,0.07852478290224199,0.06712546561279185,5.1941576115185636e-06,4.365236421204572e-06,6.056751764028951e-06,,,,,,,,,,,False
Gujarat,50671017,26385577,24285440,20843267,8552304,12290963,29827750,17833273,11994477,286886,168530,118356,8084263,4576820,3507443,8076854,4557086,3519768,4423384,2833064,1590320,4235270,2697364,1537906,2409406,1492908,916498,17477,13673,3804,407351,293339,114012,1875741,1192415,683326,11118,8074,3044,0.411344950901617,0.3241279885598105,0.5061041924708797,0.588655049098383,0.6758720114401895,0.4938958075291203,0.0056617375569943664,0.006387201613972664,0.004873537395245876,0.15954412361607032,0.1734591591459228,0.1444257546908765,0.15939790590743422,0.17271125054418934,0.14493326042270596,0.08729613617188697,0.1073716902230336,0.06548450429557792,0.08358367861454212,0.10222872897568243,0.06332625639066042,0.04754998306033605,0.05658045681547915,0.0377385791651294,0.0003449111747648562,0.0005181997725499806,0.00015663706319506666,0.00803913211372884,0.011117399479268542,0.004694664786802298,0.0370180255115069,0.04519192436079757,0.028137270726822327,0.00021941537111836535,0.0003060005092933916,0.00012534259210456966,Gujarat,51.34400000000001,5.805518830293194,57.4,67.102,30.163,72.626,62.385000000000005,14.0,10.0,True
Haryana,21144564,11363953,9780611,9050887,3883744,5167143,12093677,7480209,4613468,169982,93084,76898,2687232,1541553,1145679,3226643,1854447,1372196,2018523,1275057,743466,2239510,1559586,679924,831595,555791,275804,16446,6768,9678,103467,76712,26755,798689,516179,282510,1590,1032,558,0.4280479370489739,0.34175994920077546,0.5283047245207891,0.5719520629510261,0.6582400507992245,0.47169527547921086,0.008039040199646585,0.008191163761412951,0.00786228999394823,0.12708855098643793,0.13565288416803553,0.11713777390799,0.15259917395317302,0.16318678896331232,0.14029757445623797,0.09546297573220237,0.112201889606548,0.07601426945617201,0.10591421984392774,0.13723974395177452,0.06951753832148114,0.03932902092471616,0.04890824522065517,0.02819905627572756,0.0007777885606910598,0.000595567405109824,0.000989508733145608,0.004893314423508567,0.0067504679049622965,0.002735514171865132,0.03777278169462373,0.0454224863478404,0.028884698512189066,7.519663209891678e-05,9.08134695734838e-05,5.705165045414852e-05,,,,,,,,,,,False
Himachal Pradesh,6077900,3087940,2989960,2036279,809554,1226725,4041621,2278386,1763235,59560,30710,28850,816877,440504,376373,1109971,562768,547203,690693,391813,298880,812699,508847,303852,289868,171923,117945,6172,2692,3480,34456,24401,10055,220770,144396,76374,555,332,223,0.3350300268184735,0.2621663633360752,0.4102814084469357,0.6649699731815265,0.7378336366639248,0.5897185915530643,0.009799437305648332,0.009945141421141602,0.009648958514495177,0.1344011912009082,0.14265303082313777,0.12587894152430132,0.1826240971388144,0.18224706438596605,0.18301348513023585,0.11364007305154741,0.12688491356697346,0.09996120349436113,0.13371378272100562,0.16478526137165878,0.10162410199467552,0.04769213050560226,0.055675628412469154,0.03944701601359216,0.001015482321196466,0.0008717785967343925,0.0011638951691661428,0.005669063327794139,0.007902031775228793,0.003362921243093553,0.03632340117474786,0.046761271268224124,0.025543485531579018,9.131443426183386e-05,0.00010751504239072003,7.458293756438213e-05,Himachal Pradesh,49.86000000000001,3.5531957446783053,69.5,59.79333333333333,37.403333333333336,64.28,67.00333333333333,11.411666666666667,6.0,True
Jammu and Kashmir,10143700,5360926,4782774,5336414,2300298,3036116,4807286,3060628,1746658,246932,135290,111642,860480,496517,363963,1031707,617935,413772,1074049,710489,363560,914050,638612,275438,339163,225426,113737,1087,807,280,7493,6317,1176,331548,228649,102899,777,586,191,0.5260816073030551,0.4290859452266269,0.634802313469129,0.4739183926969449,0.5709140547733731,0.365197686530871,0.024343385549651507,0.025236311786433912,0.023342520470337927,0.08482900716701007,0.09261776790054554,0.07609872429682021,0.10170913966304208,0.11526646702454016,0.08651297343340915,0.10588335617181108,0.1325310216928941,0.0760144635728136,0.09011011760994508,0.11912344994129745,0.05758959131248936,0.033435827163658234,0.042049824974267506,0.02378055078496287,0.00010716010923035973,0.0001505336951116281,5.854343107159151e-05,0.0007386850951822313,0.0011783412044859415,0.00024588241050068434,0.032685114898902766,0.042651027080023114,0.02151450183512748,7.659926851148989e-05,0.00010930947377374729,3.993498333812135e-05,Jammu and Kashmir,49.13444444444444,3.283340947537703,78.55555555555556,68.55000000000001,25.224444444444444,77.51666666666667,51.78222222222222,3.1822222222222223,9.0,True
Jharkhand,26945829,13885037,13060792,15168628,6238180,8930448,11777201,7646857,4130344,317100,199931,117169,3147802,1864147,1283655,3087105,1924134,1162971,1906603,1279861,626742,1747816,1224552,523264,733016,520850,212166,8336,7101,1235,19614,18092,1522,808678,607692,200986,1131,497,634,0.5629304631896833,0.4492735597319618,0.6837600660051856,0.43706953681031674,0.5507264402680382,0.3162399339948144,0.01176805508563125,0.014399025368099488,0.008971048616347309,0.1168196383937566,0.13425581797153296,0.09828309033632876,0.11456708197769681,0.13857608013576053,0.08904291562104351,0.07075688782853926,0.09217555559988785,0.04798652332875372,0.06486406486139283,0.08819220287277592,0.04006372661014738,0.027203319667767505,0.037511603318017804,0.016244497270915884,0.0003093614228755033,0.0005114138334669184,9.455781854576659e-05,0.0007279048642370587,0.001302985364749118,0.00011653198366530912,0.03001124960749955,0.04376596187680307,0.015388500176712101,4.197310092036879e-05,3.5793926944523086e-05,4.854223235466884e-05,Jharkhand,55.38199999999999,2.1255046459605786,35.2,54.712,55.326,71.446,57.470000000000006,23.404,5.0,True
